,Headline,Content,URL
0,GIVE IT ALL BACK," Huw Edwards must pay back every penny, demand whistleblower's family",https://www.thesun.co.uk/news/29793685/huw-edwards-pay-back-victims-family/
1,SHE SAID YES, Adele finally confirms her engagement to Rich Paul & reveals ring,https://www.thesun.co.uk/tvandshowbiz/29794196/adele-finally-confirms-engagement-rich-paul/
2,LET'S FACE IT," Body part that Brits find sexiest revealed...and it isn't boobs, bums or legs",https://www.thesun.co.uk/fabulous/29794915/eye-sexiest-feature-body-part/
3,IN THE BIN, Riot bin ladies jailed for nearly five years in total as yob duo are locked up,https://www.thesun.co.uk/news/29795895/riot-bin-ladies-jailed-for-nearly-five-years/
4,ROYAL APPROVAL, King Charles 'encouraged' by response of Brits to rioters as he thanks cops,https://www.thesun.co.uk/royals/29790928/king-charles-encouraged-response-of-brits-rioters/
5,BRAZEN DASH, Moment 'dine and dash' couple 'leave restaurant without paying for £120 meal,https://www.thesun.co.uk/news/29794094/dine-dash-restaurant-burger-meal-paying-video/
6,SHOCK SIGHTING, Train passengers stunned as they spot Hollywood star travelling to Edinburgh,https://www.thesun.co.uk/tv/29791546/train-passengers-gobsmacked-margot-robbie-travelling-edinburgh/
7,CREEPY CRAWLIES, Spiders the size of rats invade UK in their thousands as homeowners warned,https://www.thesun.co.uk/tech/29793985/spiders-size-rats-thousands-uk-homeowners-urgent-warning/
8,MERCY MUROKI, Jail is only answer for Katie… she was a fun poster girl but she's a car crash,https://www.thesun.co.uk/tvandshowbiz/29793010/katie-price-jail-mercy-muroki/
9,'LOCK ME UP', Katie Price tells pals she wants to go to prison to make more cash behind bars,https://www.thesun.co.uk/tvandshowbiz/29795809/katie-price-prison-cash/
10,HUGE BLAZE, Enormous fire hits town as residents evacuated and 15 fire engines rush to scene,https://www.thesun.co.uk/news/29795159/fire-blaze-crewe-smoke-road-closure-building/
11,DOZENS DEAD," Israeli airstrike kills 60 at school in Gaza, Palestinian authorities say",https://www.thesun.co.uk/news/29797228/israeli-airstrike-kills-school-palestinian-gaza/
12,PRO SHOW, Strictly's female pros strip down to their underwear for group pamper session ,https://www.thesun.co.uk/tv/29796320/strictlys-female-pros-strips-down-pamper-session/
13,HORROR CRASH, Plane crashes leaving 61 dead as chilling footage shows it dropping out of sky,https://www.thesun.co.uk/news/26326691/brazil-plane-crash-footage-spiral-ground-drop/
14,THE SUN SAYS, Sickened public will agree with family who demand Huw Edwards pay back salary,https://www.thesun.co.uk/news/29795772/huw-edwards-family-repay-salary-sun-says/
15,DEAR DEIDRE, I fear my long-distance girlfriend is cheating on me with her best mate,https://www.thesun.co.uk/dear-deidre/29789743/fear-long-distance-girlfriend-cheating/
16,SWEET FREEBIE, Shoppers can snap up FREE Cadbury's chocolate selection box worth £15 ,https://www.thesun.co.uk/shopping/29718111/claim-free-cadburys-double-deck-chocolate-selection-box/
17,RIVALS," Man Utd vs Man City preview: Best free betting tips, odds and predictions",https://www.thesun.co.uk/sport/29711783/man-utd-man-city-free-football-betting-tips-prediction/
18,THE TERMINATOR, Team GB hero Roberts honed his skills on a climbing wall built by his dad,https://www.thesun.co.uk/sport/29786654/meet-toby-roberts-climbing-gold-medal-paris-2024/
19,WIN PEAKS, Team GB climbing ace Roberts 'in shock' but plans wild party after Paris gold joy,https://www.thesun.co.uk/sport/29795708/team-gb-toby-roberts-olympics-sport-climbing-gold/
20,WALK THE WALK," Bizarre moment race leader WALKS OFF in middle of Olympics 10,000m final",https://www.thesun.co.uk/sport/29793942/rahel-daniel-olympics-final-bbc/
21,'OUR PRIDE', BBC pundit fights back tears in tribute to Johnson-Thompson for Olympic silver ,https://www.thesun.co.uk/sport/29793602/katarina-johnson-thompson-olympic-silver-jazmin-sawyers-bbc-tribute/
22,GAMES ON," Day 15 schedule and highlights as Muir goes for gold, Team USA in basketball final",https://www.thesun.co.uk/sport/29409625/whats-on-olympics-schedule-today-paris-2024/
